"subclass","Cold.1","Cold.2","Cold.3","Cold.4","Cold.5","Cold.6","Cold.7","Cold.8","RT.1","RT.2","RT.3","RT.4","RT.5","RT.6","RT.7","RT.8"
"CL(16:0)",11438962,9763376,11789592,9312232.75,15949889.5,4531954.75,15195817.25,13289127.75,1550925.25,1447529.25,2164489.75,2367327.25,1866113.25,2644726.75,2579387.5,2308548
"CL(16:1)",1833025.5,1430056.5,1619511.75,1668904.5,1817309.25,1029048.5,1222058.75,1948384.25,481252,533973.5,792641.5,1050980.5,677914.25,863410.25,1091760,785216
"CL(18:1)",29464180,25353286.25,27029896.5,25687328.5,37223837.25,13978972.5,37163071.25,32549559.75,5068624.25,5198910,7880358.25,7854350.75,8834151.25,9789905.25,10529093.5,8398387
"CL(18:2)",116492535.75,104346773.75,104775206.75,107370142.5,132344370.5,61323735,130280497.25,132947076,25876215,30486319.5,45335529.25,47351519,50640712.25,55192603.5,60797422.25,46019698.75
"CL(18:4)",240588.5,206288.75,228466.75,221150.75,251954,181097,176798,309288.75,70439.75,61408.75,114156.25,163419,131818,136648,153193.5,123956.5
"CL(20:2)",1953561.5,1105066.5,1602619.25,1337375.25,2118934.5,966598,1896457.5,1692736,247850.75,387507.5,467011.5,414995.75,446129.25,749970.5,674463.25,572100.25
"CL(20:4)",844102.75,711152.25,836109.25,706746.75,1004704.5,470712.5,1015738.5,1018020.5,201102.25,148014.75,163842.5,320121,223436.75,297602,326181.25,265761.5
"CL(20:5)",3008478,3180806,2774415.75,3011345,3798495.5,2041119.75,3746865.5,3939175,940037.75,938119.75,1506689,1649228.75,1563715,1744802.75,2052702.75,1507641
"DG(14:0)",14500000,11500000,20500000,2.1e+07,2.1e+07,2.7e+07,14500000,3.1e+07,16500000,14500000,1.1e+07,1.7e+07,1.2e+07,12500000,1.2e+07,1.2e+07
"DG(16:0)",753500000,627500000,8.73e+08,1037500000,1062500000,6.16e+08,669500000,8.71e+08,448500000,358552013.5,444746831,429500000,580441736.5,6.06e+08,549225107,461500000
"DG(16:1)",1.14e+08,8.1e+07,8.1e+07,80500000,152500000,109500000,9.6e+07,73500000,36500000,41552013.5,66246831,89500000,50941736.5,8.5e+07,83725107,72500000
"DG(18:0)",1.17e+08,145500000,131500000,1.54e+08,1.56e+08,124976802.5,1.7e+08,1.37e+08,42104356,54523264,48696865.5,46728666.5,70357271.5,61987158.5,6.6e+07,53756881
"DG(18:1)",1704960864.5,1.238e+09,1.694e+09,2.335e+09,1.97e+09,1342976802.5,1594500000,1.971e+09,714039557.5,726325125,739329743,824361201,1349914187.5,1155152950,1224011654,961095455
"DG(18:2)",3.913e+09,2.708e+09,3.913e+09,4866500000,4699500000,3149445248.5,3890807351,4.499e+09,1703594924.5,2116682738,2111742338,2033079939,2918834431,2.98e+09,2.989e+09,2.279e+09
"DG(18:3)",65259072,50624645,77244403,69738061,83609732,54881307,61263523,81439229,40135462,52572845,59894786,57756688,66500000,8.7e+07,8.3e+07,65500000
"DG(20:1)",54500000,4.1e+07,5.1e+07,7e+07,56500000,4.4e+07,5.5e+07,5.6e+07,19610236.5,23685406,28496012,23426097,32531285,28877707,28688954.5,27354041
"DG(20:2)",1.8e+07,1e+07,22500000,2.6e+07,25500000,30500000,2.2e+07,3.7e+07,9500000,1.2e+07,8e+06,12500000,1e+07,10500000,10500000,9e+06
"DG(20:3)",22500000,16500000,2.9e+07,30500000,31500000,23500000,2.1e+07,3.5e+07,1.4e+07,13500000,9500000,1.4e+07,12500000,1.6e+07,1.5e+07,1.3e+07
"DG(20:4)",165500000,1.88e+08,2.05e+08,2.25e+08,2.42e+08,1.73e+08,2.19e+08,210500000,77500000,9e+07,71500000,82500000,103500000,112500000,103500000,94500000
"DG(20:5)",6e+06,5500000,7500000,6e+06,1e+07,3445248.5,4807351,6500000,3094924.5,4682738,3105881.5,4079939,3834431,8e+06,5500000,6e+06
"DG(22:4)",4460864.5,5e+06,5500000,7e+06,6e+06,8e+06,6e+06,7500000,3353499.5,2469367.5,2419695.5,2577793.5,3107095.5,2788084.5,2322699.5,2797322.5
"DG(22:5)",2.1e+07,16500000,39500000,2.7e+07,28500000,3e+07,18500000,4.1e+07,10500000,1.5e+07,10636456.5,1.6e+07,10775807,1.3e+07,13500000,10187210.5
"DG(22:6)",110500000,1.08e+08,1.72e+08,1.42e+08,188500000,7.5e+07,8.5e+07,124500000,74028534.5,66352912.5,43282830,66871356,59857271.5,1.13e+08,82500000,8.3e+07
"FA(20:4)",5068305,4062261,5850977,5407837,5854570,5376502,8044717,5130649,2143922,2879870,3728889,3320680,3394031,3761325,4992507,4044172
"LPC(14:0)",3393320,1550603,2064050,1818513,2520812,1688141,2114053,2297740,1272504,1753562,1141593,1231399,794086,1708783,1561264,1300625
"LPC(16:0)",406253476,275199194,286326568,275510643,307259444,244367821,356625568,306947714,193346358,203827741,223627931,172782622,172874812,245231904,225813691,213868986
"LPC(16:1)",1.8e+07,1.3e+07,1.3e+07,1.2e+07,1.7e+07,1e+07,1.5e+07,9674533,6733201,8469621,8823335,9719608,6631312,8568239,8575007,9608535
"LPC(18:0)",415824155,374020004,385181746,404637919,416267602,343451978,545202742,456144678,162844156,223430293,242985227,171953566,182420209,224547888,225241102,213552560
"LPC(18:1)",8.7e+07,6.7e+07,7.5e+07,8.4e+07,9.4e+07,7e+07,1.4e+08,1.1e+08,3.7e+07,6.4e+07,6.6e+07,4.9e+07,5.5e+07,5.5e+07,6.9e+07,6.2e+07
"LPC(18:2)",1.9e+08,1.6e+08,1.6e+08,2.6e+08,2.4e+08,1.8e+08,3.5e+08,1.4e+08,4.2e+07,1.7e+08,1.4e+08,8.7e+07,1.1e+08,9.4e+07,1.2e+08,1e+08
"LPC(18:3)",2.3e+07,1.6e+07,1.8e+07,1.4e+07,1.8e+07,1.4e+07,2e+07,1.8e+07,1.2e+07,1.2e+07,1.3e+07,1e+07,9954067,1.4e+07,1.3e+07,1.2e+07
"LPC(20:0)",3011011,2219010,2410095,3032772,2907068,2772465,4211968,2128574,2427836,2387869,2788814,1904689,1868275,2206301,2060340,1998077
"LPC(20:1)",3646863,2174078,2899845,2995584,3117524,2638246,4168266,2936949,2314883,2482827,2772610,2113142,1919021,2001187,2925640,2547294
"LPC(20:2)",3907200,1889140,2745063,2706230,3413194,3521998,4356099,3741805,1545158,2169317,2302787,1906458,1408161,1773472,2732253,2147435
"LPC(20:3)",2.5e+07,2.4e+07,2.5e+07,2.2e+07,2.8e+07,2.3e+07,3.3e+07,2.8e+07,1e+07,1.4e+07,1.6e+07,1.1e+07,1.2e+07,1.6e+07,1.4e+07,1.4e+07
"LPC(20:4)",6.3e+07,2.6e+07,2.9e+07,3.2e+07,3.8e+07,3.1e+07,5.2e+07,4.1e+07,8348972,3e+07,2.3e+07,1.8e+07,1.9e+07,2.2e+07,2.4e+07,1.8e+07
"LPC(22:5)",8478732,2801797,2956969,2649552,3245207,2311087,4108296,3548781,347969,2096197,1463502,1217646,1181702,1665592,1944618,1199759
"LPC(22:6)",2.8e+07,1.5e+07,1.6e+07,1.5e+07,1.7e+07,1.5e+07,2.4e+07,1.5e+07,2387632,1.2e+07,8708677,7180793,6826467,9742311,1.1e+07,8349209
"LPC(24:0)",3430870,3159113,2475750,2713382,2510283,2101648,3425401,2669802,2140642,1852479,1780319,1661044,2026258,2392477,2667922,1679275
"LPE(16:0)",57648740,39872838,43650697,37816037,54064455,30499565,51782287,45315074,14494056,22436083,25173955,22977952,21167886,29457136,28956467,30649171
"LPE(16:1)",5571024,4029427,4022372,3950695,5674512,3277542,4382880,4038572,2438716,2600856,3054197,3567542,2566527,2909480,3150231,4021222
"LPE(18:0)",189915387,146646026,149666350,149516253,189240560,96468040,1.76e+08,168724547,28180546,57033139,67309648,55544568,53944159,81517242,80230001,77535355
"LPE(18:1)",4.8e+07,3.5e+07,3.7e+07,3.9e+07,4.7e+07,2.9e+07,5.5e+07,4.1e+07,1.2e+07,2.1e+07,2.6e+07,3.2e+07,2.3e+07,2.5e+07,2.7e+07,2.8e+07
"LPE(18:2)",4.6e+07,2.9e+07,3.8e+07,4.5e+07,5.4e+07,3.3e+07,9e+07,3.1e+07,5753671,2.8e+07,2.1e+07,2.4e+07,1.9e+07,2.9e+07,2.5e+07,2.5e+07
"LPE(18:3)",926941,545507,642681,598576,811621,354199,927034,558971,35903.9,148602,165730,132897,135994,298154,210263,213437
"LPE(20:1)",1401976,896395,1083154,1051112,1092500,786205,1458632,1003762,221699,629427,863441,795516,629546,618257,814980,861801
"LPE(20:3)",1304098,761209,804585,1142167,2180079,1271423,1989547,1121360,465274,500705,531786,950749,657677,603176,877675,829411
"LPE(20:4)",6e+07,2.5e+07,3.7e+07,4.4e+07,5.8e+07,2.5e+07,6.1e+07,4.8e+07,1.4e+07,9605701,1.9e+07,2e+07,1.9e+07,2.8e+07,2.7e+07,1.9e+07
"LPE(20:5)",1736811,1382296,936881,984486,1727585,620608,1505859,929772,481804,215337,483086,567579,412099,738431,621253,773533
"LPE(22:4)",4258793,3547176,1933332,1728956,2835515,665266,535947,2401546,2110840,550544,950783,1379211,889378,2584493,1510819,1959174
"LPE(22:5)",6565035,4546801,1812726,3615753,4045875,1799292,3375820,3373262,2516862,1614779,2959972,1977535,3010154,4476433,4436710,3051380
"LPE(22:6)",6.1e+07,3.9e+07,4.5e+07,4.6e+07,5.7e+07,3.3e+07,6.4e+07,4.4e+07,1.1e+07,2.1e+07,1.9e+07,2.2e+07,2.1e+07,2.8e+07,3.1e+07,2.3e+07
"LPG(18:1)",1194605,1093264,808517,1198945,1356746,526199,1673246,955094,753438,395561,501191,436273,526112,587587,971716,535208
"LPG(18:2)",904444,578965,758920,645890,783920,541118,1104725,794196,565107,428169,460390,341445,363470,475300,576216,427463
"LPI(16:0)",2072207,1260118,1598188,1070836,1801424,429951,1263933,1080511,1024843,256522,478344,581968,500513,872110,747912,681893
"LPI(18:0)",1.5e+07,1e+07,1.2e+07,1.1e+07,1.2e+07,5169353,1.5e+07,1.1e+07,6124951,2364198,4547496,3940174,4978134,7108325,7638972,4976406
"LPI(18:1)",1918127,687346,1532354,1633057,1531479,252734,1613374,836877,836374,283913,308506,488902,573712,767479,648682,669463
"LPI(20:4)",2688935,1269028,1529818,1496038,1979678,1416198,2538858,1394282,587281,873491,1218223,877608,913026,941125,1413769,1008197
"LPS(18:0)",4964214,3056969,4383969,4389018,3953896,2705000,3552805,2908237,5772196,2584896,4188444,3617177,5001870,4171200,5904812,4127788
"LPS(20:4)",533696,321199,293285,370196,467461,290590,393310,347307,243907,260389,326949,292695,374855,411434,429776,219039
"LPS(22:6)",1541351,874064,1090235,940632,999855,801602,1302410,864093,359468,574966,661156,690076,610753,679186,948017,742827
